Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/inventory/branch (stock-level),410,2,24,24.105936002460357,10.0254290000521,80.91248300024745,5215.143902439025,1.3706320605037885,0.006686010051237993,24,25,27,27,31,34,43,52,81,81,81
GET,/transactions (billing-check),397,3,11,12.444787891696201,5.317740000464255,68.35107599999901,1239.9823677581865,1.3271729951707416,0.01002901507685699,11,12,13,14,18,23,41,58,68,68,68
GET,/transactions (order-history),398,1,10,10.955313700995605,4.6117749998302315,69.71471299948462,597.6984924623116,1.3305160001963605,0.0033430050256189965,10,11,12,12,15,19,26,44,70,70,70
POST,/transactions/purchase,124,4,27,28.035811475803946,9.735893999277323,61.26468900038162,406.55645161290323,0.41453262317675554,0.013372020102475986,28,29,31,33,39,44,48,56,61,61,61
POST,/transactions/sale,6798,49,18,19.708055846127955,6.804134000049089,125.21827300042787,428.21874080611946,22.725748164157938,0.16380724625533083,18,20,21,22,26,32,46,68,100,130,130
POST,/transactions/transfer,33,0,21,21.797761636193943,12.96275299955596,33.50178699929529,381.6363636363636,0.11031916584542688,0.0,21,24,26,27,27,29,34,34,34,34,34
GET,[META] branches,217,19,36,36.88913747008116,13.519876999453118,71.58824099951744,1462.7188940092167,0.7254320905593222,0.06351709548676093,36,41,45,47,53,57,60,64,72,72,72
GET,[META] inventory/branch,2862,12,29,35.224297568830224,7.534614000178408,554.3546799999604,27571.11180992313,9.567680383321568,0.04011606030742796,29,35,39,43,53,65,87,120,340,550,550
GET,[META] items,198,2,34,35.533121727269766,15.596122999340878,72.73784700009855,8612.388888888889,0.6619149950725614,0.006686010051237993,34,38,41,44,54,59,65,68,73,73,73
GET,[META] suppliers,198,1,23,23.619634848434334,10.630052999658801,74.36877000054665,3048.247474747475,0.6619149950725614,0.0033430050256189965,24,26,27,28,31,35,39,49,74,74,74
GET,[META] warehouses,198,1,24,26.905298909094547,11.30761199965491,101.97085400068318,306.74242424242425,0.6619149950725614,0.0033430050256189965,24,27,29,30,34,40,95,100,100,100,100
,Aggregated,11833,94,20,23.934060446629772,4.6117749998302315,554.3546799999604,7389.324516183555,39.557778468149586,0.31424247240818565,20,24,27,29,38,49,65,79,260,500,550
