Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1776656963,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1776656964,10,,Aggregated,0.000000,0.000000,28,33,36,38,49,58,67,70,75,75,75,138,0,28,30.601266065193908,12.957109000126366,74.55396099976497,18199.123188405796
1776656965,20,,Aggregated,0.000000,0.000000,27,32,35,37,46,54,67,86,270,270,270,275,0,27,31.235323210924186,11.222589999306365,269.84783000079915,18298.912727272727
1776656966,28,,Aggregated,55.000000,0.000000,27,32,35,37,47,52,64,75,270,270,270,388,2,27,30.663088175257595,11.222589999306365,269.84783000079915,18367.80412371134
1776656967,37,,Aggregated,94.500000,0.000000,28,33,37,40,49,61,87,100,550,550,550,514,5,28,34.61228305447764,11.222589999306365,554.3546799999604,18477.947470817122
1776656968,47,,Aggregated,107.666667,0.666667,28,34,38,42,50,62,89,260,550,550,550,662,8,28,35.35763111934176,9.279855000386306,554.3546799999604,18298.083081570996
1776656969,58,,Aggregated,104.750000,1.250000,29,34,38,43,50,61,87,100,550,550,550,825,12,29,35.03971903394841,8.771648000220011,554.3546799999604,18069.395151515153
1776656970,70,,Aggregated,113.200000,1.600000,30,36,40,44,54,65,87,100,550,550,550,996,13,30,35.736217102424575,8.771648000220011,554.3546799999604,17860.706827309237
1776656971,80,,Aggregated,120.000000,1.833333,30,36,41,45,54,65,86,99,500,550,550,1144,20,30,35.65113876312238,8.771648000220011,554.3546799999604,17739.27534965035
1776656972,89,,Aggregated,125.000000,1.714286,30,35,40,43,53,64,85,100,500,550,550,1287,21,30,35.02271329448882,8.771648000220011,554.3546799999604,17787.65578865579
1776656973,100,,Aggregated,130.625000,1.875000,29,35,39,43,53,64,85,100,500,550,550,1446,21,29,34.818398946752424,8.771648000220011,554.3546799999604,17869.471645919777
1776656974,108,,Aggregated,132.444444,2.333333,29,35,39,43,53,65,88,120,500,550,550,1566,23,29,35.0131786296363,8.771648000220011,554.3546799999604,17877.431673052364
1776656975,119,,Aggregated,133.600000,2.100000,30,36,40,44,55,66,88,110,500,550,550,1737,24,30,35.411265694304475,8.152108000103908,554.3546799999604,17796.090961427748
1776656976,130,,Aggregated,143.200000,2.300000,30,36,41,45,55,67,87,100,500,550,550,1911,24,30,35.616514469908914,8.152108000103908,554.3546799999604,17881.44374672946
1776656977,140,,Aggregated,141.800000,2.400000,30,36,41,45,55,66,85,100,320,550,550,2063,24,30,35.37537806156002,6.193789999997534,554.3546799999604,17859.307804168686
1776656978,150,,Aggregated,146.300000,2.200000,30,36,41,45,55,66,85,100,320,550,550,2210,24,30,35.35959577963539,6.193789999997534,554.3546799999604,17859.643891402717
1776656979,159,,Aggregated,154.500000,1.900000,30,36,41,45,55,66,88,120,320,550,550,2355,25,30,35.47241360127162,6.125991000772046,554.3546799999604,17774.658598726113
1776656980,170,,Aggregated,153.900000,1.600000,30,37,42,46,56,67,96,120,320,550,550,2537,26,30,36.027440920380066,6.125991000772046,554.3546799999604,17769.7646826961
1776656981,179,,Aggregated,153.400000,1.400000,30,37,42,46,55,67,95,120,320,550,550,2694,28,30,35.841870926133865,6.125991000772046,554.3546799999604,17763.66889383816
1776656982,189,,Aggregated,152.400000,1.400000,30,37,41,45,55,66,89,120,320,550,550,2859,34,30,35.52234548933362,6.125991000772046,554.3546799999604,17624.869884575026
1776656983,198,,Aggregated,153.700000,1.200000,30,36,41,45,55,66,89,120,320,550,550,3008,36,30,35.410141557516695,6.125991000772046,554.3546799999604,17494.206781914894
1776656984,198,,Aggregated,155.300000,1.200000,30,36,41,45,55,66,89,120,320,550,550,3032,36,30,35.27285004683782,6.125991000772046,554.3546799999604,17360.685026385225
1776656985,198,,Aggregated,156.600000,1.500000,30,36,41,45,55,66,89,120,320,550,550,3054,36,30,35.188453463004464,6.125991000772046,554.3546799999604,17238.633922724297
1776656986,198,,Aggregated,152.200000,1.300000,29,36,41,45,55,66,89,120,320,550,550,3088,36,29,34.985994535627334,6.125991000772046,554.3546799999604,17055.352331606216
1776656987,198,,Aggregated,142.800000,1.200000,29,36,41,45,55,66,89,120,320,550,550,3115,36,29,34.89540437015036,6.125991000772046,554.3546799999604,16913.051685393257
1776656988,198,,Aggregated,127.000000,1.200000,29,36,40,44,55,65,89,120,320,550,550,3150,36,29,34.698179682228655,6.125991000772046,554.3546799999604,16729.390476190478
1776656989,198,,Aggregated,112.600000,1.200000,29,35,40,44,55,65,88,120,320,550,550,3174,36,29,34.56896699843079,6.125991000772046,554.3546799999604,16609.18525519849
1776656990,198,,Aggregated,101.600000,1.200000,29,35,40,44,54,65,88,120,320,550,550,3204,37,29,34.42205981086733,6.125991000772046,554.3546799999604,16459.164169787764
1776656991,198,,Aggregated,90.000000,1.100000,29,35,40,44,54,65,88,120,320,550,550,3232,37,29,34.30965055476973,6.125991000772046,554.3546799999604,16320.103650990099
1776656992,198,,Aggregated,78.100000,1.000000,28,35,40,44,54,65,87,120,320,550,550,3265,37,28,34.1296016079675,5.985821000649594,554.3546799999604,16162.379173047473
1776656993,198,,Aggregated,62.500000,1.000000,28,35,40,44,54,65,87,120,320,550,550,3300,37,28,33.97819442636724,5.985821000649594,554.3546799999604,16063.131515151515
1776656994,198,,Aggregated,48.900000,0.400000,28,35,40,43,54,64,87,120,320,550,550,3347,37,28,33.74880129101071,5.985821000649594,554.3546799999604,15917.609501045712
