Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/inventory/branch (stock-level),220,0,21,23.24073097267749,7.492780001484789,82.79358800064074,5083.618181818182,0.7360335353758268,0.0,22,25,29,31,33,37,41,74,83,83,83
GET,/transactions (billing-check),178,0,10,12.269178314618125,6.178709001687821,82.55518899750314,1387.9943820224719,0.5955180422586235,0.0,10,11,13,14,18,28,34,63,83,83,83
GET,/transactions (order-history),228,0,10,11.975657504320369,5.639520000841003,80.53655700132367,707.3377192982456,0.7627983912076751,0.0,10,11,13,14,19,24,36,38,81,81,81
POST,/transactions/purchase,93,0,26,27.551419601818893,10.976428999128984,116.43163500048104,449.3010752688172,0.3111414490452359,0.0,26,29,30,32,33,39,60,120,120,120,120
POST,/transactions/sale,3477,19,19,20.94554390191576,7.382714000414126,104.95796400209656,432.54529767040555,11.632675465917044,0.06356653260063959,19,21,22,23,28,36,54,72,92,100,100
POST,/transactions/transfer,29,0,22,22.970040999945045,16.132582000864204,41.38582999803475,399.62068965517244,0.0970226023904499,0.0,22,24,26,28,30,30,41,41,41,41,41
GET,[META] branches,100,0,39,40.30688626993651,16.968947002169443,80.04233999963617,1602.22,0.3345606978981031,0.0,39,44,47,49,57,64,78,80,80,80,80
GET,[META] inventory/branch,1737,0,35,40.40737066259101,6.507991998660145,312.2891319981136,27751.613126079446,5.811319322490051,0.0,35,44,51,55,70,81,95,100,290,310,310
GET,[META] items,100,0,39,38.14954028977809,19.370574998902157,81.10890600073617,9198.0,0.3345606978981031,0.0,39,43,46,49,54,57,75,81,81,81,81
GET,[META] suppliers,100,0,29,30.944752790055645,11.980064999079332,74.04753299852018,3047.7,0.3345606978981031,0.0,29,33,37,38,44,52,68,74,74,74,74
GET,[META] warehouses,100,0,27,27.420256239965966,7.906564002041705,57.78965300123673,310.19,0.3345606978981031,0.0,27,31,32,33,39,45,50,58,58,58,58
,Aggregated,6362,19,21,26.713791295787328,5.639520000841003,312.2891319981136,8284.25479408991,21.28475160027732,0.06356653260063959,21,26,31,35,48,62,79,89,120,310,310
