Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/inventory/branch (stock-level),115,0,19,23.196703156471536,13.152821000403492,137.0355839990225,5151.95652173913,0.38451747974102035,0.0,19,22,23,24,29,38,85,94,140,140,140
GET,/transactions (billing-check),95,0,10,13.690325599887537,6.227356998351752,123.00043300092511,1459.821052631579,0.31764487456866897,0.0,10,12,13,15,18,22,58,120,120,120,120
GET,/transactions (order-history),138,0,11,11.74221109432846,6.276357000388089,81.35267900070176,639.6884057971015,0.4614209756892244,0.0,11,12,12,13,15,17,27,27,81,81,81
POST,/transactions/purchase,41,0,26,28.38371343901466,14.194056999258464,60.31321100090281,435.6341463414634,0.1370888406033203,0.0,26,29,31,32,38,41,60,60,60,60,60
POST,/transactions/sale,1703,12,21,23.008486210806353,7.9940169998735655,152.7828039997985,429.32824427480915,5.6942023304257186,0.040123563103410816,21,23,24,25,29,36,58,77,120,150,150
POST,/transactions/transfer,10,0,24,26.6645341002004,17.35885599919129,34.16324399950099,412.8,0.033436302586175685,0.0,27,30,31,33,34,34,34,34,34,34,34
GET,[META] branches,50,0,37,37.20977752000181,13.264524999613059,78.69736000066041,1594.78,0.1671815129308784,0.0,37,40,43,47,58,63,79,79,79,79,79
GET,[META] inventory/branch,819,0,30,36.19526842125734,8.120403001157683,284.9233169999934,27049.151404151406,2.7384331818077885,0.0,30,36,43,47,59,69,87,110,280,280,280
GET,[META] items,50,0,28,29.074951899965527,19.086917000095127,55.594072000531014,8482.66,0.1671815129308784,0.0,28,32,33,34,37,48,56,56,56,56,56
GET,[META] suppliers,50,0,22,23.726059399996302,12.459849000151735,42.137501999604865,1537.06,0.1671815129308784,0.0,23,25,27,28,33,35,42,42,42,42,42
GET,[META] warehouses,50,0,23,23.90535339989583,9.986396999011049,52.529082999171806,309.14,0.1671815129308784,0.0,23,27,30,31,34,37,53,53,53,53,53
,Aggregated,3121,12,22,26.126942801348424,6.227356998351752,284.9233169999934,7793.017302146748,10.43547003714543,0.040123563103410816,22,25,28,31,41,55,72,87,250,280,280
