"Time","idle"
2026-04-19 14:41:30,42.9%
2026-04-19 14:41:45,67.8%
2026-04-19 14:42:00,99.8%
2026-04-19 14:42:15,99.4%
2026-04-19 14:42:30,103%
2026-04-19 14:42:45,98.8%
2026-04-19 14:43:00,103%
2026-04-19 14:43:15,96.4%
2026-04-19 14:43:30,98.7%
2026-04-19 14:43:45,93.1%
2026-04-19 14:44:00,96.5%
2026-04-19 14:44:15,97.0%
2026-04-19 14:44:30,98.1%
2026-04-19 14:44:45,98.5%
2026-04-19 14:45:00,97.3%
2026-04-19 14:45:15,97.7%
2026-04-19 14:45:30,96.9%
2026-04-19 14:45:45,97.9%
2026-04-19 14:46:00,97.8%
2026-04-19 14:46:15,97.8%
2026-04-19 14:46:30,97.7%
2026-04-19 14:46:45,105%
2026-04-19 14:47:00,98.3%
2026-04-19 14:47:15,98.1%
2026-04-19 14:47:30,90.5%
2026-04-19 14:47:45,97.5%
2026-04-19 14:48:00,97.9%
2026-04-19 14:48:15,98.0%
2026-04-19 14:48:30,98.8%
2026-04-19 14:48:45,99.8%
2026-04-19 14:49:00,99.1%
2026-04-19 14:49:15,100%
2026-04-19 14:49:30,98.6%
2026-04-19 14:49:45,99.3%
2026-04-19 14:50:00,98.1%
2026-04-19 14:50:15,99.3%
2026-04-19 14:50:30,100.0%
2026-04-19 14:50:45,99.4%
2026-04-19 14:51:00,99.3%
