"Time","CPU Usage %"
2026-04-19 14:41:45,55.3%
2026-04-19 14:42:00,30.4%
2026-04-19 14:42:15,1.00%
2026-04-19 14:42:30,0.737%
2026-04-19 14:42:45,0.789%
2026-04-19 14:43:00,0.903%
2026-04-19 14:43:15,-0.153%
2026-04-19 14:43:30,1.48%
2026-04-19 14:43:45,2.58%
2026-04-19 14:44:00,4.23%
2026-04-19 14:44:15,2.51%
2026-04-19 14:44:30,2.01%
2026-04-19 14:44:45,0.763%
2026-04-19 14:45:00,2.39%
2026-04-19 14:45:15,2.05%
2026-04-19 14:45:30,3.10%
2026-04-19 14:45:45,1.85%
2026-04-19 14:46:00,1.79%
2026-04-19 14:46:15,1.91%
2026-04-19 14:46:30,1.96%
2026-04-19 14:46:45,-2.05%
2026-04-19 14:47:00,1.56%
2026-04-19 14:47:15,1.79%
2026-04-19 14:47:30,6.00%
2026-04-19 14:47:45,2.34%
2026-04-19 14:48:00,2.09%
2026-04-19 14:48:15,1.54%
2026-04-19 14:48:30,1.15%
2026-04-19 14:48:45,0.787%
2026-04-19 14:49:00,0.819%
2026-04-19 14:49:15,0.775%
2026-04-19 14:49:30,0.686%
2026-04-19 14:49:45,0.687%
