"Time","CPU Usage %"
2026-04-19 14:41:30,57.1%
2026-04-19 14:41:45,32.2%
2026-04-19 14:42:00,0.250%
2026-04-19 14:42:15,0.622%
2026-04-19 14:42:30,-2.61%
2026-04-19 14:42:45,1.19%
2026-04-19 14:43:00,-3.37%
2026-04-19 14:43:15,3.61%
2026-04-19 14:43:30,1.29%
2026-04-19 14:43:45,6.87%
2026-04-19 14:44:00,3.51%
2026-04-19 14:44:15,2.96%
2026-04-19 14:44:30,1.93%
2026-04-19 14:44:45,1.49%
2026-04-19 14:45:00,2.66%
2026-04-19 14:45:15,2.34%
2026-04-19 14:45:30,3.07%
2026-04-19 14:45:45,2.11%
2026-04-19 14:46:00,2.22%
2026-04-19 14:46:15,2.19%
2026-04-19 14:46:30,2.31%
2026-04-19 14:46:45,-5.46%
2026-04-19 14:47:00,1.72%
2026-04-19 14:47:15,1.94%
2026-04-19 14:47:30,9.48%
2026-04-19 14:47:45,2.46%
2026-04-19 14:48:00,2.10%
2026-04-19 14:48:15,1.97%
2026-04-19 14:48:30,1.22%
2026-04-19 14:48:45,0.172%
2026-04-19 14:49:00,0.889%
2026-04-19 14:49:15,-0.378%
2026-04-19 14:49:30,1.44%
2026-04-19 14:49:45,0.700%
2026-04-19 14:50:00,1.94%
2026-04-19 14:50:15,0.656%
