"Time","pos-api-multi CPU %"
2026-04-19 14:41:30,0%
2026-04-19 14:41:45,0%
2026-04-19 14:42:00,0.00362%
2026-04-19 14:42:15,0.00409%
2026-04-19 14:42:30,0%
2026-04-19 14:42:45,0%
2026-04-19 14:43:00,0%
2026-04-19 14:44:00,1.98%
2026-04-19 14:44:15,3.26%
2026-04-19 14:44:30,3.15%
2026-04-19 14:44:45,3.10%
2026-04-19 14:45:00,3.12%
2026-04-19 14:45:15,2.97%
2026-04-19 14:45:30,2.82%
2026-04-19 14:45:45,2.88%
2026-04-19 14:46:00,2.95%
2026-04-19 14:46:15,2.98%
2026-04-19 14:46:30,3.10%
2026-04-19 14:46:45,3.14%
2026-04-19 14:47:00,2.83%
2026-04-19 14:47:15,2.52%
2026-04-19 14:47:30,2.41%
2026-04-19 14:47:45,2.79%
2026-04-19 14:48:00,2.72%
2026-04-19 14:48:15,2.17%
2026-04-19 14:48:30,1.30%
2026-04-19 14:48:45,0%
2026-04-19 14:49:00,0%
2026-04-19 14:49:15,0%
2026-04-19 14:50:00,0.0300%
