"Time","Memory Usage %"
2026-04-19 14:41:15,9.91%
2026-04-19 14:41:30,9.99%
2026-04-19 14:41:45,10.0%
2026-04-19 14:42:00,10.0%
2026-04-19 14:42:15,10.0%
2026-04-19 14:42:30,10.0%
2026-04-19 14:42:45,10.0%
2026-04-19 14:43:00,10.2%
2026-04-19 14:43:15,10.3%
2026-04-19 14:43:30,10.3%
2026-04-19 14:43:45,10.4%
2026-04-19 14:44:00,10.4%
2026-04-19 14:44:15,10.5%
2026-04-19 14:44:30,10.5%
2026-04-19 14:44:45,10.5%
2026-04-19 14:45:00,10.4%
2026-04-19 14:45:15,10.4%
2026-04-19 14:45:30,10.4%
2026-04-19 14:45:45,10.5%
2026-04-19 14:46:00,10.5%
2026-04-19 14:46:15,10.5%
2026-04-19 14:46:30,10.5%
2026-04-19 14:46:45,10.5%
2026-04-19 14:47:00,10.6%
2026-04-19 14:47:15,10.6%
2026-04-19 14:47:30,10.5%
2026-04-19 14:47:45,10.5%
2026-04-19 14:48:00,10.6%
2026-04-19 14:48:15,10.5%
2026-04-19 14:48:30,10.6%
2026-04-19 14:48:45,10.6%
2026-04-19 14:49:00,10.6%
2026-04-19 14:49:15,10.6%
2026-04-19 14:49:30,10.6%
2026-04-19 14:49:45,10.6%
2026-04-19 14:50:00,10.6%
2026-04-19 14:50:15,10.6%
2026-04-19 14:50:30,10.7%
