"Time","Used Memory"
2026-04-19 14:41:15,779 MiB
2026-04-19 14:41:30,786 MiB
2026-04-19 14:41:45,787 MiB
2026-04-19 14:42:00,788 MiB
2026-04-19 14:42:15,788 MiB
2026-04-19 14:42:30,789 MiB
2026-04-19 14:42:45,787 MiB
2026-04-19 14:43:00,799 MiB
2026-04-19 14:43:15,807 MiB
2026-04-19 14:43:30,810 MiB
2026-04-19 14:43:45,815 MiB
2026-04-19 14:44:00,818 MiB
2026-04-19 14:44:15,824 MiB
2026-04-19 14:44:30,825 MiB
2026-04-19 14:44:45,823 MiB
2026-04-19 14:45:00,820 MiB
2026-04-19 14:45:15,822 MiB
2026-04-19 14:45:30,820 MiB
2026-04-19 14:45:45,822 MiB
2026-04-19 14:46:00,824 MiB
2026-04-19 14:46:15,823 MiB
2026-04-19 14:46:30,830 MiB
2026-04-19 14:46:45,830 MiB
2026-04-19 14:47:00,832 MiB
2026-04-19 14:47:15,830 MiB
2026-04-19 14:47:30,829 MiB
2026-04-19 14:47:45,829 MiB
2026-04-19 14:48:00,833 MiB
2026-04-19 14:48:15,829 MiB
2026-04-19 14:48:30,836 MiB
2026-04-19 14:48:45,836 MiB
2026-04-19 14:49:00,832 MiB
2026-04-19 14:49:15,834 MiB
2026-04-19 14:49:30,837 MiB
2026-04-19 14:49:45,835 MiB
2026-04-19 14:50:00,836 MiB
2026-04-19 14:50:15,837 MiB
2026-04-19 14:50:30,839 MiB
