"Time","RX — enp5s0"
2026-04-19 14:41:45,152 B/s
2026-04-19 14:42:00,218 B/s
2026-04-19 14:42:15,315 B/s
2026-04-19 14:42:30,299 B/s
2026-04-19 14:42:45,326 B/s
2026-04-19 14:43:00,1.66 kB/s
2026-04-19 14:43:15,27.4 kB/s
2026-04-19 14:43:30,33.7 kB/s
2026-04-19 14:43:45,38.7 kB/s
2026-04-19 14:44:00,19.7 kB/s
2026-04-19 14:44:15,20.1 kB/s
2026-04-19 14:44:30,20.3 kB/s
2026-04-19 14:44:45,18.8 kB/s
2026-04-19 14:45:00,18.1 kB/s
2026-04-19 14:45:15,17.2 kB/s
2026-04-19 14:45:30,17.1 kB/s
2026-04-19 14:45:45,17.2 kB/s
2026-04-19 14:46:00,17.5 kB/s
2026-04-19 14:46:15,19.1 kB/s
2026-04-19 14:46:30,19.8 kB/s
2026-04-19 14:46:45,19.4 kB/s
2026-04-19 14:47:00,17.5 kB/s
2026-04-19 14:47:15,16.0 kB/s
2026-04-19 14:47:30,15.9 kB/s
2026-04-19 14:47:45,16.9 kB/s
2026-04-19 14:48:00,17.2 kB/s
2026-04-19 14:48:15,11.8 kB/s
2026-04-19 14:48:30,5.82 kB/s
2026-04-19 14:48:45,359 B/s
2026-04-19 14:49:00,333 B/s
2026-04-19 14:49:15,350 B/s
2026-04-19 14:49:30,324 B/s
2026-04-19 14:49:45,347 B/s
2026-04-19 14:50:00,328 B/s
2026-04-19 14:50:15,349 B/s
