"Time","Active Connections"
2026-04-19 14:41:30,2
2026-04-19 14:41:45,2
2026-04-19 14:42:00,2
2026-04-19 14:42:15,2
2026-04-19 14:42:30,2
2026-04-19 14:42:45,2
2026-04-19 14:43:00,2
2026-04-19 14:43:15,2
2026-04-19 14:43:30,2
2026-04-19 14:43:45,2
2026-04-19 14:44:00,2
2026-04-19 14:44:15,2
2026-04-19 14:44:30,1
2026-04-19 14:44:45,2
2026-04-19 14:45:00,2
2026-04-19 14:45:15,1
2026-04-19 14:45:30,1
2026-04-19 14:45:45,2
2026-04-19 14:46:00,1
2026-04-19 14:46:15,2
2026-04-19 14:46:30,2
2026-04-19 14:46:45,1
2026-04-19 14:47:00,2
2026-04-19 14:47:15,2
2026-04-19 14:47:30,2
2026-04-19 14:47:45,2
2026-04-19 14:48:00,2
2026-04-19 14:48:15,2
2026-04-19 14:48:30,1
2026-04-19 14:48:45,2
2026-04-19 14:49:00,2
2026-04-19 14:49:15,2
2026-04-19 14:49:30,2
2026-04-19 14:49:45,2
2026-04-19 14:50:00,2
2026-04-19 14:50:15,2
2026-04-19 14:50:30,2
2026-04-19 14:50:45,1
