"Time","idle"
2026-04-19 13:46:30,42.9%
2026-04-19 13:46:45,68.4%
2026-04-19 13:47:00,97.3%
2026-04-19 13:47:15,99.4%
2026-04-19 13:47:30,99.4%
2026-04-19 13:47:45,78.4%
2026-04-19 13:48:00,112%
2026-04-19 13:48:15,100%
2026-04-19 13:48:30,76.1%
2026-04-19 13:48:45,87.5%
2026-04-19 13:49:00,98.4%
2026-04-19 13:49:15,82.1%
2026-04-19 13:49:30,100.0%
2026-04-19 13:49:45,104%
2026-04-19 13:50:00,84.1%
2026-04-19 13:50:15,102%
2026-04-19 13:50:30,89.6%
2026-04-19 13:50:45,58.0%
2026-04-19 13:51:00,83.6%
2026-04-19 13:51:15,90.2%
2026-04-19 13:51:30,93.2%
2026-04-19 13:51:45,93.6%
2026-04-19 13:52:00,94.5%
2026-04-19 13:52:15,94.5%
2026-04-19 13:52:30,96.0%
2026-04-19 13:52:45,92.1%
2026-04-19 13:53:00,90.7%
2026-04-19 13:53:15,90.3%
2026-04-19 13:53:30,92.9%
2026-04-19 13:53:45,97.1%
2026-04-19 13:54:00,95.3%
2026-04-19 13:54:15,93.1%
2026-04-19 13:54:30,89.2%
2026-04-19 13:54:45,93.5%
2026-04-19 13:55:00,97.7%
2026-04-19 13:55:15,99.4%
2026-04-19 13:55:30,99.6%
2026-04-19 13:55:45,99.4%
2026-04-19 13:56:00,99.5%
2026-04-19 13:56:15,99.1%
2026-04-19 13:56:30,99.4%
2026-04-19 13:56:45,99.2%
2026-04-19 13:57:00,99.3%
2026-04-19 13:57:15,99.3%
2026-04-19 13:57:30,99.5%
2026-04-19 13:57:45,99.3%
2026-04-19 13:58:00,99.3%
2026-04-19 13:58:15,99.2%
