"Time","CPU Usage %"
2026-04-19 13:46:45,37.3%
2026-04-19 13:47:00,0.998%
2026-04-19 13:47:15,0.822%
2026-04-19 13:47:30,-2.17%
2026-04-19 13:47:45,34.5%
2026-04-19 13:48:00,58.8%
2026-04-19 13:48:15,4.27%
2026-04-19 13:48:45,-9.47%
2026-04-19 13:49:00,2.39%
2026-04-19 13:49:15,15.1%
2026-04-19 13:49:30,11.5%
2026-04-19 13:49:45,40.0%
2026-04-19 13:50:00,-10.7%
2026-04-19 13:50:15,-6.18%
2026-04-19 13:50:30,10.9%
2026-04-19 13:50:45,13.3%
2026-04-19 13:51:00,8.70%
2026-04-19 13:51:15,10.8%
2026-04-19 13:51:30,6.12%
2026-04-19 13:51:45,3.68%
2026-04-19 13:52:00,2.33%
2026-04-19 13:52:15,3.59%
2026-04-19 13:52:30,3.74%
2026-04-19 13:52:45,2.12%
2026-04-19 13:53:00,2.64%
2026-04-19 13:53:15,5.37%
2026-04-19 13:53:30,5.64%
2026-04-19 13:53:45,4.12%
2026-04-19 13:54:00,-2.16%
2026-04-19 13:54:15,0.751%
2026-04-19 13:54:30,3.44%
2026-04-19 13:54:45,8.69%
2026-04-19 13:55:00,5.27%
2026-04-19 13:55:15,1.18%
2026-04-19 13:55:30,0.483%
2026-04-19 13:55:45,0.598%
2026-04-19 13:56:00,0.577%
2026-04-19 13:56:15,0.578%
2026-04-19 13:56:30,-0.204%
2026-04-19 13:56:45,0.469%
2026-04-19 13:57:00,0.494%
2026-04-19 13:57:15,1.17%
2026-04-19 13:57:30,0.450%
2026-04-19 13:57:45,0.584%
2026-04-19 13:58:00,0.507%
2026-04-19 13:58:15,0.603%
2026-04-19 13:58:30,0.471%
2026-04-19 13:58:45,-4.89%
2026-04-19 13:59:00,0.450%
2026-04-19 13:59:15,0.444%
2026-04-19 13:59:30,5.85%
2026-04-19 13:59:45,0.400%
2026-04-19 14:00:00,0.293%
2026-04-19 14:00:15,0.588%
2026-04-19 14:00:30,0.619%
