"Time","RX — enp5s0"
2026-04-19 13:46:45,158 B/s
2026-04-19 13:47:00,291 B/s
2026-04-19 13:47:15,282 B/s
2026-04-19 13:47:30,516 B/s
2026-04-19 13:47:45,382 B/s
2026-04-19 13:48:00,359 B/s
2026-04-19 13:48:15,744 B/s
2026-04-19 13:48:45,849 B/s
2026-04-19 13:49:00,1.33 kB/s
2026-04-19 13:49:15,2.40 kB/s
2026-04-19 13:49:30,2.68 kB/s
2026-04-19 13:49:45,1.80 kB/s
2026-04-19 13:50:00,72.8 kB/s
2026-04-19 13:50:15,112 kB/s
2026-04-19 13:50:30,127 kB/s
2026-04-19 13:50:45,115 kB/s
2026-04-19 13:51:00,101 kB/s
2026-04-19 13:51:15,85.9 kB/s
2026-04-19 13:51:30,80.9 kB/s
2026-04-19 13:51:45,80.2 kB/s
2026-04-19 13:52:00,76.7 kB/s
2026-04-19 13:52:15,77.1 kB/s
2026-04-19 13:52:30,72.0 kB/s
2026-04-19 13:52:45,67.7 kB/s
2026-04-19 13:53:00,70.3 kB/s
2026-04-19 13:53:15,77.5 kB/s
2026-04-19 13:53:30,85.9 kB/s
2026-04-19 13:53:45,86.8 kB/s
2026-04-19 13:54:00,79.6 kB/s
2026-04-19 13:54:15,70.9 kB/s
2026-04-19 13:54:30,68.6 kB/s
2026-04-19 13:54:45,55.0 kB/s
2026-04-19 13:55:00,34.2 kB/s
2026-04-19 13:55:15,7.33 kB/s
2026-04-19 13:55:30,268 B/s
2026-04-19 13:55:45,247 B/s
2026-04-19 13:56:00,264 B/s
2026-04-19 13:56:15,246 B/s
2026-04-19 13:56:30,277 B/s
2026-04-19 13:56:45,258 B/s
2026-04-19 13:57:00,269 B/s
2026-04-19 13:57:15,236 B/s
2026-04-19 13:57:30,259 B/s
2026-04-19 13:57:45,252 B/s
2026-04-19 13:58:00,283 B/s
2026-04-19 13:58:15,272 B/s
2026-04-19 13:58:30,295 B/s
2026-04-19 13:58:45,295 B/s
2026-04-19 13:59:00,306 B/s
2026-04-19 13:59:15,298 B/s
2026-04-19 13:59:30,301 B/s
2026-04-19 13:59:45,297 B/s
2026-04-19 14:00:00,310 B/s
2026-04-19 14:00:15,286 B/s
2026-04-19 14:00:30,296 B/s
