"Time","CPU Usage %"
2026-04-20 14:19:15,55.8%
2026-04-20 14:19:30,32.7%
2026-04-20 14:19:45,7.24%
2026-04-20 14:20:00,5.45%
2026-04-20 14:20:15,3.91%
2026-04-20 14:20:30,4.21%
2026-04-20 14:20:45,4.14%
2026-04-20 14:21:00,4.15%
2026-04-20 14:21:15,4.02%
2026-04-20 14:21:30,3.93%
2026-04-20 14:21:45,4.05%
2026-04-20 14:22:00,3.93%
2026-04-20 14:22:15,3.79%
2026-04-20 14:22:30,3.89%
2026-04-20 14:22:45,3.70%
2026-04-20 14:23:00,3.88%
2026-04-20 14:23:15,4.10%
2026-04-20 14:23:30,4.26%
2026-04-20 14:23:45,4.13%
2026-04-20 14:24:00,4.15%
2026-04-20 14:24:15,3.63%
2026-04-20 14:24:30,2.66%
2026-04-20 14:24:45,1.36%
