"Time","Memory Usage %"
2026-04-20 14:19:00,10.7%
2026-04-20 14:19:15,10.8%
2026-04-20 14:19:30,10.8%
2026-04-20 14:19:45,10.9%
2026-04-20 14:20:00,11.0%
2026-04-20 14:20:15,11.0%
2026-04-20 14:20:30,11.0%
2026-04-20 14:20:45,11.0%
2026-04-20 14:21:00,11.0%
2026-04-20 14:21:15,10.8%
2026-04-20 14:21:30,10.7%
2026-04-20 14:21:45,10.6%
2026-04-20 14:22:00,10.6%
2026-04-20 14:22:15,10.6%
2026-04-20 14:22:30,10.6%
2026-04-20 14:22:45,10.5%
2026-04-20 14:23:00,10.5%
2026-04-20 14:23:15,10.5%
2026-04-20 14:23:30,10.4%
2026-04-20 14:23:45,10.4%
2026-04-20 14:24:00,10.4%
2026-04-20 14:24:15,10.5%
2026-04-20 14:24:30,10.5%
2026-04-20 14:24:45,10.5%
2026-04-20 14:25:00,10.5%
