"Time","Used Memory"
2026-04-20 14:19:00,841 MiB
2026-04-20 14:19:15,850 MiB
2026-04-20 14:19:30,852 MiB
2026-04-20 14:19:45,857 MiB
2026-04-20 14:20:00,863 MiB
2026-04-20 14:20:15,864 MiB
2026-04-20 14:20:30,865 MiB
2026-04-20 14:20:45,867 MiB
2026-04-20 14:21:00,867 MiB
2026-04-20 14:21:15,847 MiB
2026-04-20 14:21:30,843 MiB
2026-04-20 14:21:45,834 MiB
2026-04-20 14:22:00,831 MiB
2026-04-20 14:22:15,832 MiB
2026-04-20 14:22:30,831 MiB
2026-04-20 14:22:45,826 MiB
2026-04-20 14:23:00,827 MiB
2026-04-20 14:23:15,830 MiB
2026-04-20 14:23:30,820 MiB
2026-04-20 14:23:45,820 MiB
2026-04-20 14:24:00,821 MiB
2026-04-20 14:24:15,825 MiB
2026-04-20 14:24:30,825 MiB
2026-04-20 14:24:45,825 MiB
2026-04-20 14:25:00,830 MiB
