"Time","Active Connections"
2026-04-20 14:19:15,2
2026-04-20 14:19:30,2
2026-04-20 14:19:45,2
2026-04-20 14:20:00,2
2026-04-20 14:20:15,2
2026-04-20 14:20:30,1
2026-04-20 14:20:45,2
2026-04-20 14:21:00,1
2026-04-20 14:21:15,1
2026-04-20 14:21:30,1
2026-04-20 14:21:45,2
2026-04-20 14:22:00,2
2026-04-20 14:22:15,2
2026-04-20 14:22:30,2
2026-04-20 14:22:45,3
2026-04-20 14:23:00,2
2026-04-20 14:23:15,2
2026-04-20 14:23:30,1
2026-04-20 14:23:45,1
2026-04-20 14:24:00,2
2026-04-20 14:24:15,2
2026-04-20 14:24:30,2
2026-04-20 14:24:45,2
2026-04-20 14:25:00,2
2026-04-20 14:25:15,1
2026-04-20 14:25:30,2
2026-04-20 14:25:45,2
