"Time","idle"
2026-04-20 14:02:45,40.9%
2026-04-20 14:03:00,65.8%
2026-04-20 14:03:15,99.2%
2026-04-20 14:03:30,99.3%
2026-04-20 14:03:45,99.3%
2026-04-20 14:04:00,97.3%
2026-04-20 14:04:15,96.7%
2026-04-20 14:04:30,96.2%
2026-04-20 14:04:45,97.8%
2026-04-20 14:05:00,97.7%
2026-04-20 14:05:15,97.8%
2026-04-20 14:05:30,97.8%
2026-04-20 14:05:45,97.9%
2026-04-20 14:06:00,97.6%
2026-04-20 14:06:15,97.5%
2026-04-20 14:06:30,97.5%
2026-04-20 14:06:45,97.6%
2026-04-20 14:07:00,97.5%
2026-04-20 14:07:15,97.4%
2026-04-20 14:07:30,97.6%
2026-04-20 14:07:45,97.7%
2026-04-20 14:08:00,97.8%
2026-04-20 14:08:15,97.6%
2026-04-20 14:08:30,97.7%
2026-04-20 14:08:45,97.7%
2026-04-20 14:09:00,98.2%
2026-04-20 14:09:15,98.7%
2026-04-20 14:09:30,99.2%
2026-04-20 14:09:45,99.3%
2026-04-20 14:10:00,99.3%
2026-04-20 14:10:15,99.3%
2026-04-20 14:10:30,99.3%
2026-04-20 14:10:45,99.3%
2026-04-20 14:11:00,99.4%
2026-04-20 14:11:15,99.4%
2026-04-20 14:11:30,99.4%
2026-04-20 14:11:45,99.3%
2026-04-20 14:12:00,99.0%
2026-04-20 14:12:15,99.2%
2026-04-20 14:12:30,99.4%
2026-04-20 14:12:45,99.8%
2026-04-20 14:13:00,99.7%
2026-04-20 14:13:15,99.7%
2026-04-20 14:13:30,99.7%
2026-04-20 14:13:45,99.8%
2026-04-20 14:14:00,99.8%
2026-04-20 14:14:15,99.8%
