"Time","CPU Usage %"
2026-04-20 14:03:15,57.6%
2026-04-20 14:03:30,32.8%
2026-04-20 14:03:45,1.24%
2026-04-20 14:04:00,3.68%
2026-04-20 14:04:15,4.06%
2026-04-20 14:04:30,4.03%
2026-04-20 14:04:45,1.91%
2026-04-20 14:05:00,1.94%
2026-04-20 14:05:15,1.95%
2026-04-20 14:05:30,1.94%
2026-04-20 14:05:45,1.91%
2026-04-20 14:06:00,2.09%
2026-04-20 14:06:15,2.17%
2026-04-20 14:06:30,2.11%
2026-04-20 14:06:45,1.99%
2026-04-20 14:07:00,1.99%
2026-04-20 14:07:15,2.05%
2026-04-20 14:07:30,2.03%
2026-04-20 14:07:45,1.94%
2026-04-20 14:08:00,1.98%
2026-04-20 14:08:15,2.03%
2026-04-20 14:08:30,2.07%
2026-04-20 14:08:45,1.97%
2026-04-20 14:09:00,1.64%
2026-04-20 14:09:15,1.22%
2026-04-20 14:09:30,0.877%
2026-04-20 14:09:45,0.834%
2026-04-20 14:10:00,0.841%
2026-04-20 14:10:15,0.884%
2026-04-20 14:10:30,0.791%
2026-04-20 14:10:45,0.746%
2026-04-20 14:11:00,0.558%
2026-04-20 14:11:15,0.476%
2026-04-20 14:11:30,0.516%
2026-04-20 14:11:45,0.711%
2026-04-20 14:12:00,0.791%
