"Time","CPU Usage %"
2026-04-20 14:02:45,59.1%
2026-04-20 14:03:00,34.2%
2026-04-20 14:03:15,0.759%
2026-04-20 14:03:30,0.724%
2026-04-20 14:03:45,0.686%
2026-04-20 14:04:00,2.74%
2026-04-20 14:04:15,3.29%
2026-04-20 14:04:30,3.85%
2026-04-20 14:04:45,2.24%
2026-04-20 14:05:00,2.26%
2026-04-20 14:05:15,2.22%
2026-04-20 14:05:30,2.20%
2026-04-20 14:05:45,2.10%
2026-04-20 14:06:00,2.36%
2026-04-20 14:06:15,2.50%
2026-04-20 14:06:30,2.52%
2026-04-20 14:06:45,2.42%
2026-04-20 14:07:00,2.45%
2026-04-20 14:07:15,2.56%
2026-04-20 14:07:30,2.40%
2026-04-20 14:07:45,2.28%
2026-04-20 14:08:00,2.21%
2026-04-20 14:08:15,2.37%
2026-04-20 14:08:30,2.35%
2026-04-20 14:08:45,2.30%
2026-04-20 14:09:00,1.78%
2026-04-20 14:09:15,1.33%
2026-04-20 14:09:30,0.839%
2026-04-20 14:09:45,0.669%
2026-04-20 14:10:00,0.667%
2026-04-20 14:10:15,0.689%
2026-04-20 14:10:30,0.731%
2026-04-20 14:10:45,0.744%
2026-04-20 14:11:00,0.614%
2026-04-20 14:11:15,0.611%
2026-04-20 14:11:30,0.583%
2026-04-20 14:11:45,0.702%
2026-04-20 14:12:00,0.967%
2026-04-20 14:12:15,0.772%
2026-04-20 14:12:30,0.620%
2026-04-20 14:12:45,0.213%
