"Time","pos-api-single CPU %"
2026-04-20 14:03:30,0%
2026-04-20 14:03:45,0%
2026-04-20 14:04:00,0%
2026-04-20 14:04:15,9.65%
2026-04-20 14:04:30,10.6%
2026-04-20 14:04:45,2.32%
2026-04-20 14:05:00,3.11%
2026-04-20 14:05:15,2.90%
2026-04-20 14:05:30,2.94%
2026-04-20 14:05:45,2.82%
2026-04-20 14:06:00,3.03%
2026-04-20 14:06:15,3.53%
2026-04-20 14:06:30,3.59%
2026-04-20 14:06:45,3.44%
2026-04-20 14:07:00,3.22%
2026-04-20 14:07:15,3.13%
2026-04-20 14:07:30,3.32%
2026-04-20 14:07:45,3.16%
2026-04-20 14:08:00,3.04%
2026-04-20 14:08:15,2.95%
2026-04-20 14:08:30,3.07%
2026-04-20 14:08:45,3.11%
2026-04-20 14:09:00,2.83%
2026-04-20 14:09:15,1.70%
2026-04-20 14:09:30,0.816%
2026-04-20 14:09:45,0.00246%
2026-04-20 14:10:00,0.00240%
2026-04-20 14:10:15,0.00319%
2026-04-20 14:10:30,0%
2026-04-20 14:10:45,0%
2026-04-20 14:11:45,0%
2026-04-20 14:12:00,0%
2026-04-20 14:12:15,0.00330%
