"Time","pos-api-single Memory (WSS)"
2026-04-20 14:03:15,5.85 MiB
2026-04-20 14:03:30,5.85 MiB
2026-04-20 14:03:45,5.85 MiB
2026-04-20 14:04:00,5.85 MiB
2026-04-20 14:04:15,12.1 MiB
2026-04-20 14:04:30,11.7 MiB
2026-04-20 14:04:45,11.7 MiB
2026-04-20 14:05:00,12.6 MiB
2026-04-20 14:05:15,13.1 MiB
2026-04-20 14:05:30,12.6 MiB
2026-04-20 14:05:45,12.9 MiB
2026-04-20 14:06:00,12.9 MiB
2026-04-20 14:06:15,12.2 MiB
2026-04-20 14:06:30,12.5 MiB
2026-04-20 14:06:45,12.5 MiB
2026-04-20 14:07:00,12.9 MiB
2026-04-20 14:07:15,12.4 MiB
2026-04-20 14:07:30,12.1 MiB
2026-04-20 14:07:45,12.7 MiB
2026-04-20 14:08:00,12.5 MiB
2026-04-20 14:08:15,13.1 MiB
2026-04-20 14:08:30,12.9 MiB
2026-04-20 14:08:45,12.6 MiB
2026-04-20 14:09:00,12.5 MiB
2026-04-20 14:09:15,12.5 MiB
2026-04-20 14:09:30,12.5 MiB
2026-04-20 14:09:45,12.5 MiB
2026-04-20 14:10:00,12.5 MiB
2026-04-20 14:10:15,12.5 MiB
2026-04-20 14:10:30,12.5 MiB
2026-04-20 14:10:45,12.5 MiB
2026-04-20 14:11:00,12.5 MiB
2026-04-20 14:11:15,12.5 MiB
2026-04-20 14:11:30,12.5 MiB
2026-04-20 14:11:45,12.5 MiB
2026-04-20 14:12:00,12.5 MiB
2026-04-20 14:12:15,11.5 MiB
