"Time","Memory Usage %"
2026-04-20 14:02:30,10.2%
2026-04-20 14:02:45,10.2%
2026-04-20 14:03:00,10.3%
2026-04-20 14:03:15,10.4%
2026-04-20 14:03:30,10.3%
2026-04-20 14:03:45,10.3%
2026-04-20 14:04:00,10.5%
2026-04-20 14:04:15,10.5%
2026-04-20 14:04:30,10.5%
2026-04-20 14:04:45,10.6%
2026-04-20 14:05:00,10.4%
2026-04-20 14:05:15,10.3%
2026-04-20 14:05:30,10.2%
2026-04-20 14:05:45,10.2%
2026-04-20 14:06:00,10.2%
2026-04-20 14:06:15,10.2%
2026-04-20 14:06:30,10.2%
2026-04-20 14:06:45,10.2%
2026-04-20 14:07:00,10.2%
2026-04-20 14:07:15,10.2%
2026-04-20 14:07:30,10.2%
2026-04-20 14:07:45,10.2%
2026-04-20 14:08:00,10.2%
2026-04-20 14:08:15,10.1%
2026-04-20 14:08:30,10.2%
2026-04-20 14:08:45,10.1%
2026-04-20 14:09:00,10.2%
2026-04-20 14:09:15,10.2%
2026-04-20 14:09:30,10.2%
2026-04-20 14:09:45,10.2%
2026-04-20 14:10:00,10.1%
2026-04-20 14:10:15,10.1%
2026-04-20 14:10:30,10.2%
2026-04-20 14:10:45,10.2%
2026-04-20 14:11:00,10.1%
2026-04-20 14:11:15,10.1%
2026-04-20 14:11:30,10.1%
2026-04-20 14:11:45,10.1%
2026-04-20 14:12:00,9.61%
2026-04-20 14:12:15,9.62%
2026-04-20 14:12:30,9.62%
2026-04-20 14:12:45,9.62%
2026-04-20 14:13:00,9.62%
2026-04-20 14:13:15,9.62%
2026-04-20 14:13:30,9.62%
