"Time","Used Memory"
2026-04-20 14:02:30,802 MiB
2026-04-20 14:02:45,804 MiB
2026-04-20 14:03:00,810 MiB
2026-04-20 14:03:15,817 MiB
2026-04-20 14:03:30,813 MiB
2026-04-20 14:03:45,812 MiB
2026-04-20 14:04:00,826 MiB
2026-04-20 14:04:15,829 MiB
2026-04-20 14:04:30,830 MiB
2026-04-20 14:04:45,830 MiB
2026-04-20 14:05:00,818 MiB
2026-04-20 14:05:15,813 MiB
2026-04-20 14:05:30,806 MiB
2026-04-20 14:05:45,799 MiB
2026-04-20 14:06:00,800 MiB
2026-04-20 14:06:15,800 MiB
2026-04-20 14:06:30,802 MiB
2026-04-20 14:06:45,801 MiB
2026-04-20 14:07:00,801 MiB
2026-04-20 14:07:15,802 MiB
2026-04-20 14:07:30,802 MiB
2026-04-20 14:07:45,799 MiB
2026-04-20 14:08:00,800 MiB
2026-04-20 14:08:15,796 MiB
2026-04-20 14:08:30,800 MiB
2026-04-20 14:08:45,798 MiB
2026-04-20 14:09:00,802 MiB
2026-04-20 14:09:15,800 MiB
2026-04-20 14:09:30,800 MiB
2026-04-20 14:09:45,801 MiB
2026-04-20 14:10:00,797 MiB
2026-04-20 14:10:15,795 MiB
2026-04-20 14:10:30,800 MiB
2026-04-20 14:10:45,801 MiB
2026-04-20 14:11:00,797 MiB
2026-04-20 14:11:15,797 MiB
2026-04-20 14:11:30,797 MiB
2026-04-20 14:11:45,798 MiB
2026-04-20 14:12:00,756 MiB
2026-04-20 14:12:15,756 MiB
2026-04-20 14:12:30,756 MiB
2026-04-20 14:12:45,756 MiB
2026-04-20 14:13:00,756 MiB
2026-04-20 14:13:15,757 MiB
2026-04-20 14:13:30,757 MiB
