"Time","RX — enp5s0"
2026-04-20 14:03:15,400 B/s
2026-04-20 14:03:30,683 B/s
2026-04-20 14:03:45,1.33 kB/s
2026-04-20 14:04:00,195 kB/s
2026-04-20 14:04:15,210 kB/s
2026-04-20 14:04:30,220 kB/s
2026-04-20 14:04:45,30.6 kB/s
2026-04-20 14:05:00,27.7 kB/s
2026-04-20 14:05:15,28.6 kB/s
2026-04-20 14:05:30,28.9 kB/s
2026-04-20 14:05:45,25.7 kB/s
2026-04-20 14:06:00,43.4 kB/s
2026-04-20 14:06:15,57.5 kB/s
2026-04-20 14:06:30,57.2 kB/s
2026-04-20 14:06:45,43.5 kB/s
2026-04-20 14:07:00,40.5 kB/s
2026-04-20 14:07:15,45.1 kB/s
2026-04-20 14:07:30,43.0 kB/s
2026-04-20 14:07:45,34.5 kB/s
2026-04-20 14:08:00,30.4 kB/s
2026-04-20 14:08:15,32.8 kB/s
2026-04-20 14:08:30,32.6 kB/s
2026-04-20 14:08:45,32.2 kB/s
2026-04-20 14:09:00,17.5 kB/s
2026-04-20 14:09:15,10.2 kB/s
2026-04-20 14:09:30,2.22 kB/s
2026-04-20 14:09:45,1.04 kB/s
2026-04-20 14:10:00,963 B/s
2026-04-20 14:10:15,981 B/s
2026-04-20 14:10:30,1.03 kB/s
2026-04-20 14:10:45,1.14 kB/s
2026-04-20 14:11:00,1.14 kB/s
2026-04-20 14:11:15,1.16 kB/s
2026-04-20 14:11:30,1.14 kB/s
2026-04-20 14:11:45,1.14 kB/s
2026-04-20 14:12:00,1.08 kB/s
2026-04-20 14:12:15,1.01 kB/s
2026-04-20 14:12:30,1.03 kB/s
