"Time","Active Connections"
2026-04-20 14:02:45,2
2026-04-20 14:03:00,1
2026-04-20 14:03:15,1
2026-04-20 14:03:30,2
2026-04-20 14:03:45,1
2026-04-20 14:04:00,2
2026-04-20 14:04:15,3
2026-04-20 14:04:30,1
2026-04-20 14:04:45,2
2026-04-20 14:05:00,1
2026-04-20 14:05:15,2
2026-04-20 14:05:30,2
2026-04-20 14:05:45,2
2026-04-20 14:06:00,1
2026-04-20 14:06:15,2
2026-04-20 14:06:30,3
2026-04-20 14:06:45,1
2026-04-20 14:07:00,2
2026-04-20 14:07:15,3
2026-04-20 14:07:30,1
2026-04-20 14:07:45,2
2026-04-20 14:08:00,1
2026-04-20 14:08:15,2
2026-04-20 14:08:30,1
2026-04-20 14:08:45,1
2026-04-20 14:09:00,2
2026-04-20 14:09:15,2
2026-04-20 14:09:30,1
2026-04-20 14:09:45,1
2026-04-20 14:10:00,2
2026-04-20 14:10:15,2
2026-04-20 14:10:30,2
2026-04-20 14:10:45,1
2026-04-20 14:11:00,1
2026-04-20 14:11:15,2
2026-04-20 14:11:30,1
2026-04-20 14:11:45,2
